provincia_nombre,anio,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,precipitacion_total,temperatura_media,humedad_relativa
Jujuy,1992,6750,5650,9800,1734.513274336283,750.87,19.26,59.21
Jujuy,1993,1200,900,1500,1666.6666666666667,796.68,19.45,56.98
Jujuy,1994,1000,800,1200,1500.0,762.83,20.44,56.43
Jujuy,1995,1000,0,0,,749.82,19.9,55.46
Jujuy,1998,8000,8000,20000,2500.0,676.57,19.81,57.02
Jujuy,2001,773,773,1800,2328.589909443726,791.2,19.93,58.74
Jujuy,2002,1000,1000,1950,1950.0,698.29,20.23,56.32
Jujuy,2003,9000,9000,19000,2111.1111111111113,1075.68,19.86,58.73
Jujuy,2004,5050,5050,10258,2031.2871287128712,886.78,19.53,59.7
Jujuy,2005,3500,3500,9080,2594.285714285714,612.37,19.97,53.65
Jujuy,2006,6000,6000,16150,2691.6666666666665,719.39,20.35,57.64
Jujuy,2007,6000,6000,16500,2750.0,869.43,19.0,59.45
Jujuy,2008,8250,8250,19715,2389.6969696969695,1015.7,19.1,60.29
Jujuy,2009,10660,10660,28878,2709.0056285178234,768.71,19.93,56.37
Jujuy,2010,12150,12150,34635,2850.617283950617,630.88,19.23,56.4
Jujuy,2011,12150,12150,30670,2524.2798353909466,733.95,19.42,58.34
Jujuy,2012,9220,7524,11564,1536.9484316852738,637.82,20.27,57.69
Jujuy,2013,6700,6700,16897,2521.9402985074626,574.2,20.14,52.46
Jujuy,2014,6840,6840,18476,2701.1695906432747,804.8,20.15,59.76
Jujuy,2015,6840,6156,14551,2363.7102014294996,774.96,20.17,61.88
Jujuy,2016,7238,6009,12018,2000.0,950.61,19.31,61.21
Jujuy,2017,7240,7025,14753,2100.071174377224,675.24,20.4,57.56
Jujuy,2018,7240,7240,20272,2800.0,909.98,19.52,61.78
Jujuy,2019,6730,6730,16825,2500.0,893.5,19.9,60.19
Jujuy,2020,10767,10767,37685,3500.046438190768,783.81,20.37,56.37
Jujuy,2021,9581,9581,23125,2413.6311449744285,816.71,19.6,60.36
Jujuy,2022,7800,7800,11699,1499.871794871795,1373.04,19.49,54.26
Jujuy,2023,10209,9959,22905,2299.929711818456,698.09,21.61,56.07
La Pampa,1981,250,220,400,1818.1818181818182,787.6,16.25,63.77
La Pampa,1982,150,50,60,1200.0,923.48,16.11,65.3
La Pampa,1983,2500,2500,4000,1600.0,940.11,15.54,66.21
La Pampa,1984,1000,1000,1600,1600.0,990.46,14.81,70.29
La Pampa,1985,1400,1300,2100,1615.3846153846155,1052.74,15.92,64.91
La Pampa,1986,6500,5900,10200,1728.8135593220338,840.24,15.8,63.64
La Pampa,1987,18100,15620,22400,1434.0588988476313,919.72,15.73,66.89
La Pampa,1988,36500,34950,50000,1430.615164520744,803.85,15.74,59.11
