provincia;anio;precipitacion_total;temperatura_media;humedad_relativa
Santiago del Estero;1989;677.78;23.66;53.04
Santiago del Estero;1990;648.84;22.88;58.54
Santiago del Estero;1991;720.83;23.27;58.6
Santiago del Estero;1992;937.86;21.8;62.87
Santiago del Estero;1993;487.45;22.86;51.89
Santiago del Estero;1994;573.31;23.76;53.16
Santiago del Estero;1995;444.4;23.42;47.32
Santiago del Estero;1996;988.8;22.2;57.95
Santiago del Estero;1997;795.83;24.0;52.39
Santiago del Estero;1998;548.7;22.79;56.41
Santiago del Estero;1999;868.48;22.02;56.12
Santiago del Estero;2000;938.01;21.62;60.66
Santiago del Estero;2001;872.01;22.69;58.84
Santiago del Estero;2002;844.63;22.6;59.41
Santiago del Estero;2003;516.91;23.49;52.33
Santiago del Estero;2004;608.18;23.27;51.43
Santiago del Estero;2005;682.85;22.54;54.99
Santiago del Estero;2006;457.25;23.87;50.98
Santiago del Estero;2007;619.56;21.9;56.03
Santiago del Estero;2008;862.54;22.36;55.94
Santiago del Estero;2009;638.31;23.18;50.1
Santiago del Estero;2010;729.69;21.68;57.85
Santiago del Estero;2011;823.96;21.96;57.7
Santiago del Estero;2012;676.35;23.17;54.52
Santiago del Estero;2013;528.27;23.08;50.09
Santiago del Estero;2014;915.27;22.86;59.76
Santiago del Estero;2015;946.92;23.09;60.72
Santiago del Estero;2016;821.98;21.86;61.75
Santiago del Estero;2017;715.37;23.4;57.26
Santiago del Estero;2018;731.32;22.83;57.19
Santiago del Estero;2019;1029.22;22.14;63.16
Santiago del Estero;2020;601.54;23.22;50.86
Santiago del Estero;2021;947.56;22.39;57.3
Santiago del Estero;2022;721.61;22.63;50.38
Santiago del Estero;2023;733.66;24.38;55.22
Tucumán;1981;856.14;22.11;63.08
Tucumán;1982;838.4;22.16;63.07
Tucumán;1983;955.52;21.2;63.57
Tucumán;1984;871.73;21.52;65.47
Tucumán;1985;931.76;22.47;61.03
Tucumán;1986;762.74;23.03;59.47
Tucumán;1987;781.96;22.03;57.72
Tucumán;1988;614.8;22.07;55.18
Tucumán;1989;660.58;22.77;54.63
Tucumán;1990;833.85;21.83;61.59
Tucumán;1991;737.87;22.42;61.35
Tucumán;1992;931.63;20.98;65.26
Tucumán;1993;617.59;21.97;55.1
Tucumán;1994;623.36;22.93;55.64
Tucumán;1995;411.41;22.6;49.76
Tucumán;1996;825.98;21.55;59.75
Tucumán;1997;755.83;22.88;56.18
Tucumán;1998;653.42;21.57;60.67
Tucumán;1999;910.73;21.02;61.33
Tucumán;2000;912.49;20.66;64.04
Tucumán;2001;954.03;21.47;63.97
Tucumán;2002;852.51;21.64;61.42
Tucumán;2003;519.28;22.61;54.79
Tucumán;2004;645.29;22.19;55.81
Tucumán;2005;611.94;21.48;58.65
Tucumán;2006;668.17;22.53;56.13
Tucumán;2007;807.52;20.76;60.71
Tucumán;2008;947.16;21.2;61.98
Tucumán;2009;622.89;22.24;53.84
Tucumán;2010;737.19;20.82;60.17
Tucumán;2011;856.87;20.96;61.19
Tucumán;2012;604.75;22.31;57.73
Tucumán;2013;672.62;21.85;55.16
Tucumán;2014;865.41;21.91;62.58
